BUTIKKLOKALE_ID;KUNDENUMMER;KUNDENAVN;LEVERING_DT_TD;STOPPTID_LAGER;RUTE_ID;LEVERANSE_ID
2 015;492 017;Bunnpris Samfundet;11.05.2019 12:30:00;11.04.2019 10:00:00;2224;104480
2 015;492 017;Bunnpris Samfundet;11.07.2019 07:00:00;11.05.2019 21:00:00;4118;104532
2 015;492 017;Bunnpris Samfundet;11.08.2019 08:30:00;11.06.2019 21:00:00;5118;104575
8 600;248 781;Bunnpris Skogn;11.05.2019 08:30:00;11.03.2019 21:00:00;2103;104482
8 600;248 781;Bunnpris Skogn;11.06.2019 15:45:00;11.05.2019 13:00:00;3425;104513
8 600;248 781;Bunnpris Skogn;11.08.2019 08:00:00;11.06.2019 21:00:00;5103;104578
882;254 110;Bunnpris & Gourmet Elgeseter;11.04.2019 08:00:00;11.01.2019 09:00:00;1102;104436
882;254 110;Bunnpris & Gourmet Elgeseter;11.05.2019 19:00:00;11.04.2019 13:00:00;2531;104470
882;254 110;Bunnpris & Gourmet Elgeseter;11.06.2019 19:00:00;11.05.2019 13:00:00;3501;287781
882;254 110;Bunnpris & Gourmet Elgeseter;11.07.2019 09:00:00;11.05.2019 21:00:00;4103;104519
882;254 110;Bunnpris & Gourmet Elgeseter;11.08.2019 08:30:00;11.06.2019 21:00:00;5121;105589
2 275;571 133;Bunnpris & Gourmet Mo;11.04.2019 04:00:00;10.31.2019 21:00:00;6190;245339
2 275;571 133;Bunnpris & Gourmet Mo;11.06.2019 08:00:00;11.04.2019 10:00:00;2190;245340
2 275;571 133;Bunnpris & Gourmet Mo;11.08.2019 04:00:00;11.06.2019 10:00:00;4190;245341
923;254 599;Bunnpris & Gourmet Nidarvoll;11.04.2019 07:30:00;11.01.2019 09:00:00;1134;104451
923;254 599;Bunnpris & Gourmet Nidarvoll;11.05.2019 14:45:00;11.04.2019 13:00:00;2403;104477
923;254 599;Bunnpris & Gourmet Nidarvoll;11.07.2019 08:00:00;11.05.2019 21:00:00;4103;104528
923;254 599;Bunnpris & Gourmet Nidarvoll;11.08.2019 16:00:00;11.07.2019 13:00:00;5403;104569
1 957;248 880;Bunnpris & Gourmet Nyborg;11.04.2019 16:00:00;11.01.2019 13:00:00;1401;104452
1 957;248 880;Bunnpris & Gourmet Nyborg;11.06.2019 11:30:00;11.05.2019 10:00:00;3213;104508
1 957;248 880;Bunnpris & Gourmet Nyborg;11.07.2019 13:00:00;11.06.2019 10:00:00;4234;104529
1 957;248 880;Bunnpris & Gourmet Nyborg;11.08.2019 16:30:00;11.07.2019 13:00:00;5401;104570
2 196;364 109;Bunnpris Havstad;11.04.2019 12:00:00;11.01.2019 10:00:00;1231;104439
2 196;364 109;Bunnpris Havstad;11.06.2019 12:30:00;11.05.2019 10:00:00;3214;104497
2 196;364 109;Bunnpris Havstad;11.07.2019 08:30:00;11.05.2019 21:00:00;4125;104521
2 196;364 109;Bunnpris Havstad;11.08.2019 15:45:00;11.07.2019 13:00:00;5401;104556
1 532;254 888;Bunnpris Tonstad;11.04.2019 12:30:00;11.01.2019 10:00:00;1234;96063
1 532;254 888;Bunnpris Tonstad;11.05.2019 13:00:00;11.04.2019 10:00:00;2220;104486
1 532;254 888;Bunnpris Tonstad;11.07.2019 15:00:00;11.06.2019 13:00:00;4401;104536
1 532;254 888;Bunnpris Tonstad;11.08.2019 18:00:00;11.07.2019 13:00:00;5501;104580
2 135;845 198;Bunnpris Ila;11.04.2019 13:00:00;11.01.2019 10:00:00;1218;104440
2 135;845 198;Bunnpris Ila;11.06.2019 12:00:00;11.05.2019 10:00:00;3230;104498
2 135;845 198;Bunnpris Ila;11.08.2019 07:45:00;11.06.2019 21:00:00;5124;104558
4 596;494 310;Bunnpris Leüthen;11.04.2019 12:30:00;11.01.2019 10:00:00;1224;104445
4 596;494 310;Bunnpris Leüthen;11.06.2019 08:30:00;11.04.2019 21:00:00;3113;104502
4 596;494 310;Bunnpris Leüthen;11.08.2019 12:30:00;11.07.2019 10:00:00;5236;104564
1 654;310 508;Bunnpris Sandmoen;11.04.2019 07:30:00;11.01.2019 09:00:00;1131;104457
1 654;310 508;Bunnpris Sandmoen;11.06.2019 12:00:00;11.05.2019 10:00:00;3214;104512
1 654;310 508;Bunnpris Sandmoen;11.08.2019 07:30:00;11.06.2019 21:00:00;5114;104576
261;274 548;Bunnpris Ugla ;11.04.2019 13:00:00;11.01.2019 10:00:00;1231;104461
261;274 548;Bunnpris Ugla ;11.06.2019 09:00:00;11.04.2019 21:00:00;3114;104514
261;274 548;Bunnpris Ugla ;11.08.2019 09:00:00;11.06.2019 21:00:00;5124;104582
